HighCostLowGraduation,LowCostLowGraduation,LowCostHighGraduation,HighCostHighGraduation
100751.0,100654.0,100706.0,100663.0
102049.0,100724.0,101116.0,100690.0
103811.0,100760.0,101189.0,100858.0
103893.0,100830.0,101365.0,100937.0
103909.0,101028.0,101435.0,101277.0
103927.0,101073.0,101480.0,102298.0
103963.0,101143.0,101541.0,103501.0
104188.0,101161.0,101675.0,103732.0
104504.0,101240.0,101693.0,103741.0
104586.0,101286.0,101709.0,103787.0
104805.0,101295.0,101912.0,103954.0
105118.0,101301.0,101958.0,104151.0
105215.0,101453.0,102234.0,104179.0
105534.0,101462.0,102270.0,104294.0
105659.0,101499.0,102377.0,104391.0
105677.0,101505.0,102669.0,104434.0
105987.0,101514.0,102845.0,104443.0
106041.0,101569.0,103644.0,104568.0
107044.0,101587.0,103945.0,104911.0
107080.0,101602.0,104090.0,105330.0
107789.0,101648.0,104364.0,105482.0
108348.0,101736.0,104717.0,105543.0
108852.0,101879.0,105163.0,105701.0
109040.0,101897.0,105172.0,106111.0
109332.0,101949.0,105516.0,106315.0
109651.0,101994.0,105589.0,106342.0
109721.0,102030.0,105899.0,106351.0
109730.0,102058.0,106102.0,106360.0
109785.0,102067.0,106306.0,106397.0
109934.0,102076.0,106546.0,106494.0
110097.0,102094.0,106908.0,106892.0
110194.0,102261.0,107220.0,107099.0
110361.0,102313.0,107293.0,107141.0
110370.0,102368.0,107558.0,107211.0
110413.0,102429.0,107600.0,107275.0
110945.0,102553.0,107831.0,107363.0
111009.0,102614.0,108232.0,107442.0
111081.0,102632.0,108250.0,107512.0
111638.0,103361.0,110185.0,107655.0
111948.0,104160.0,112084.0,108065.0
112075.0,104346.0,112394.0,108649.0
112288.0,104425.0,112570.0,108977.0
112446.0,104577.0,113908.0,110060.0
113582.0,104708.0,115454.0,110404.0
113698.0,105145.0,115472.0,110422.0
114044.0,105154.0,115490.0,110529.0
114354.0,105206.0,115515.0,110538.0
114390.0,105297.0,115533.0,110565.0
114415.0,105349.0,116466.0,110583.0
114947.0,105428.0,116475.0,110635.0
115010.0,105525.0,116484.0,110644.0
115931.0,105668.0,117104.0,110653.0
116563.0,105747.0,117113.0,110662.0
116846.0,105792.0,117627.0,110671.0
117168.0,106148.0,117751.0,110680.0
117946.0,106245.0,117928.0,110705.0
118189.0,106281.0,118541.0,110714.0
118259.0,106324.0,118693.0,110875.0
118277.0,106412.0,119544.0,111054.0
118286.0,106449.0,119605.0,111188.0
118888.0,106458.0,119775.0,111513.0
118921.0,106467.0,120184.0,111708.0
118967.0,106485.0,120537.0,111717.0
119173.0,106625.0,120865.0,111726.0
119234.0,106704.0,122454.0,111744.0
119270.0,106713.0,122685.0,111762.0
119340.0,106795.0,122694.0,111771.0
119359.0,106810.0,122843.0,111799.0
119368.0,106829.0,123280.0,112181.0
119438.0,106883.0,123396.0,112260.0
